,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi
0,842.0,0,2.2,0,1,0,7.0,0.6,188.0,2,2,20,756,2146.5,9,7,19,0,0,1
1,1021.0,1,0.5,1,0,1,53.0,0.7,136.0,3,6,905,1988,2631.0,17,3,7,1,1,0
2,563.0,1,0.5,1,2,1,41.0,0.9,145.0,5,6,1263,1716,2603.0,11,2,9,1,1,0
3,615.0,1,2.5,0,0,0,10.0,0.8,131.0,6,9,1216,1786,2769.0,16,8,11,1,0,0
4,1821.0,1,1.2,0,13,1,44.0,0.6,141.0,2,14,1208,1212,1411.0,8,2,15,1,1,0
5,1859.0,0,0.5,1,3,0,22.0,0.7,164.0,1,7,1004,1654,1067.0,17,1,10,1,0,0
6,1821.0,0,1.7,0,4,1,10.0,0.8,139.0,8,10,381,1018,3220.0,13,8,18,1,0,1
7,1954.0,0,0.5,1,0,0,24.0,0.8,187.0,4,0,512,1149,700.0,16,3,5,1,1,1
8,1445.0,1,0.5,0,0,0,53.0,0.7,174.0,7,14,386,836,1099.0,17,1,20,1,0,0
9,509.0,1,0.6,1,2,1,9.0,0.1,93.0,5,15,1137,1224,513.0,19,10,12,1,0,0
10,769.0,1,2.9,1,0,0,9.0,0.1,182.0,5,1,248,874,3946.0,5,2,7,0,0,0
11,1520.0,1,2.2,0,5,1,33.0,0.5,177.0,8,18,151,1005,3826.0,14,9,13,1,1,1
12,1815.0,0,2.8,0,2,0,33.0,0.6,159.0,4,17,607,748,1482.0,18,0,2,1,0,0
13,803.0,1,2.1,0,7,0,17.0,1.0,198.0,4,11,344,1440,2680.0,7,1,4,1,0,1
14,1866.0,0,0.5,0,13,1,52.0,0.7,185.0,1,17,356,563,373.0,14,9,3,1,0,1
15,775.0,0,1.0,0,3,0,46.0,0.7,159.0,2,16,862,1864,568.0,17,15,11,1,1,1
16,838.0,0,0.5,0,1,1,13.0,0.1,196.0,8,4,984,1850,3554.0,10,9,19,1,0,1
17,595.0,0,0.9,1,7,1,23.0,0.1,121.0,3,17,441,810,3752.0,10,2,18,1,1,0
18,1131.0,1,0.5,1,11,0,49.0,0.6,101.0,5,18,658,878,1835.0,19,13,16,1,1,0
19,682.0,1,0.5,0,4,0,19.0,1.0,121.0,4,11,902,1064,2337.0,11,1,18,0,1,1
20,772.0,0,1.1,1,12,0,39.0,0.8,81.0,7,14,1314,1854,2819.0,17,15,3,1,1,0
21,1709.0,1,2.1,0,1,0,13.0,1.0,156.0,2,2,974,1385,3283.0,17,1,15,1,0,0
22,1949.0,0,2.6,1,4,0,47.0,0.3,199.0,4,7,407,822,1433.0,11,5,20,0,0,1
23,1602.0,1,2.8,1,4,1,38.0,0.7,141.0,3,20,466,788,1037.0,8,7,20,1,0,0
24,503.0,0,1.2,1,5,1,8.0,0.4,111.0,3,13,201,1245,2583.0,11,0,12,1,0,0
25,961.0,1,1.4,1,0,1,57.0,0.6,114.0,8,3,291,1434,2782.0,18,9,7,1,1,1
26,519.0,1,1.6,1,7,1,51.0,0.3,132.0,4,19,550,645,3763.0,16,1,4,1,0,1
27,956.0,0,0.5,0,1,1,41.0,1.0,143.0,7,6,511,1075,3286.0,17,8,12,1,1,0
28,1453.0,0,1.6,1,12,1,52.0,0.3,96.0,2,18,187,1311,2373.0,10,1,10,1,1,1
29,851.0,0,0.5,0,3,0,21.0,0.4,200.0,5,7,1171,1263,478.0,12,7,10,1,0,1
30,1579.0,1,0.5,1,0,0,5.0,0.2,88.0,7,9,1358,1739,3532.0,17,11,12,0,0,1
31,1568.0,1,0.5,0,16,0,33.0,1.0,150.0,8,20,413,654,508.0,5,1,6,1,1,1
32,1319.0,1,0.9,0,3,1,41.0,0.9,107.0,1,18,85,1152,2227.0,18,5,3,1,1,1
33,1310.0,1,2.2,1,0,1,51.0,0.6,100.0,4,0,178,1919,3845.0,7,0,12,1,1,0
34,644.0,1,2.7,0,0,0,22.0,0.7,157.0,8,3,311,881,1262.0,12,1,15,1,0,0
35,725.0,0,1.3,1,16,0,60.0,0.4,160.0,8,17,1134,1249,1326.0,10,4,15,1,0,0
36,589.0,1,2.3,1,1,0,61.0,0.6,160.0,4,10,429,815,2113.0,13,7,2,1,0,1
37,1725.0,1,1.6,1,6,1,6.0,0.5,119.0,2,18,609,1307,3429.0,6,5,4,1,1,0
38,790.0,0,2.0,1,16,1,11.0,0.3,87.0,6,17,347,730,3169.0,6,1,2,1,0,1
39,560.0,0,0.5,1,15,0,50.0,0.3,159.0,2,20,1448,1613,2150.0,18,12,11,1,1,0
40,1347.0,0,2.9,0,5,0,44.0,0.6,132.0,1,14,434,967,2484.0,18,2,11,1,0,1
41,1646.0,1,2.3,0,8,1,41.0,0.2,185.0,2,10,1725,1932,3339.0,18,10,19,1,1,0
42,1253.0,1,0.5,1,5,1,5.0,0.2,152.0,2,19,685,714,1878.0,15,0,4,1,1,0
43,1656.0,0,1.0,0,5,1,34.0,0.1,166.0,3,7,880,1456,1629.0,15,12,14,1,1,0
44,1195.0,1,2.8,0,1,1,20.0,0.8,110.0,2,14,1580,1652,504.0,9,3,12,1,1,0
45,1514.0,0,2.9,0,0,0,27.0,0.2,118.0,3,1,186,1810,1152.0,8,3,20,0,1,1
46,1723.0,1,1.1,1,1,0,42.0,1.0,164.0,8,14,202,1791,3587.0,10,5,3,1,0,0
47,1054.0,1,1.8,1,3,1,40.0,0.8,196.0,7,10,27,774,2296.0,16,12,12,1,0,1
48,578.0,1,2.6,1,2,1,57.0,0.2,162.0,8,8,1025,1433,1270.0,15,3,5,1,0,1
49,596.0,0,2.1,1,9,0,64.0,0.8,111.0,8,15,885,1854,3238.0,16,13,10,0,0,0
50,1547.0,1,3.0,1,2,1,14.0,0.7,198.0,3,19,1042,1832,2059.0,5,0,15,1,0,1
